ID,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD
0,Low,F,S,1,38000.0,N,24,59755.98,206,29877.99,2987.799,51.5,3,10,2987.799
1,Low,M,M,2,29616.0,N,49,29782.98,45,14891.49,1489.149,11.25,3,9,1489.149
2,Low,M,M,0,19732.8,N,51,24812.48,22,12406.24,1240.624,5.5,1,9,1240.624
3,High,M,S,2,96.33,N,56,26132.61,32,13066.305,1306.6305,8.0,3,5,0.0
4,High,F,M,2,52004.8,N,25,5030.5,23,1257.625,125.7625,3.45,2,19,0.0
5,High,M,M,2,53010.8,N,19,12451.25,46,6225.625,622.5625,11.5,2,8,0.0
6,Medium,M,M,1,75004.5,N,65,26522.65,32,13261.325,1326.1325,8.0,4,10,0.0
7,High,M,M,0,19749.3,N,60,20222.02,13,10111.01,1011.101,3.25,3,10,0.0
8,Medium,M,S,1,57626.9,Y,44,9380.94,38,2345.235,234.5235,5.7,2,15,0.0
9,Medium,M,M,2,20078.0,N,33,9650.97,6,2412.7425,241.27425,0.9,3,11,0.0
10,Low,F,M,2,47902.0,N,26,17441.74,49,8720.87,872.087,12.25,2,8,872.087
11,High,M,M,1,7545.96,Y,17,22392.24,178,11196.12,1119.612,44.5,1,5,0.0
12,Medium,F,S,0,78851.3,N,48,370.04,28,92.51,9.251,4.2,5,13,0.0
13,High,F,S,1,17540.7,Y,63,22172.22,13,11086.11,1108.611,3.25,4,9,0.0
14,High,F,M,0,83891.9,Y,61,28922.89,45,14461.445,1446.1445,11.25,5,6,0.0
15,Low,F,M,2,28220.8,N,39,26492.65,12,13246.325,1324.6325,3.0,1,9,1324.6325
16,Low,F,S,0,28589.1,N,16,13191.32,87,6595.66,659.566,21.75,1,7,659.566
17,High,F,M,2,5237.63,N,49,13321.33,56,6660.665,666.0665,14.0,3,7,0.0
18,Low,M,S,2,89459.9,N,53,11541.15,22,5770.575,577.0575,5.5,2,9,577.0575
19,High,F,S,1,13576.5,N,39,14831.48,25,7415.74,741.574,6.25,5,7,0.0
20,Medium,F,M,2,67388.0,N,53,4790.48,91,1197.62,119.762,13.65,3,13,0.0
21,Medium,F,M,1,57063.0,Y,52,16791.68,81,8395.84,839.584,20.25,1,6,0.0
22,High,F,M,2,84166.1,N,54,3280.33,11,820.0825,82.00825,1.65,4,15,0.0
23,Low,F,S,1,7737.94,N,43,11051.11,50,5525.555,552.5555,12.5,1,7,552.5555
24,Low,M,S,2,100020.0,N,50,21372.14,293,10686.07,1068.607,73.25,3,9,1068.607
25,High,F,M,2,45287.6,Y,29,0.0,0,0.0,0.0,0.0,0,0,0.0
26,Low,F,M,2,59613.1,N,34,12371.24,163,6185.62,618.562,40.75,2,5,618.562
27,High,F,S,1,16326.7,N,51,0.0,0,0.0,0.0,0.0,0,0,0.0
28,Low,F,S,2,9559.78,N,51,18311.83,59,9155.915,915.5915,14.75,4,8,915.5915
29,High,F,M,2,42031.8,N,51,20452.05,39,10226.025,1022.6025,9.75,3,8,0.0
30,Low,F,M,2,83284.1,Y,28,26912.69,9,13456.345,1345.6345,2.25,3,6,1345.6345
31,High,M,M,1,39229.1,N,26,28822.88,13,14411.44,1441.144,3.25,3,6,0.0
32,High,F,S,0,68427.4,N,42,23762.38,50,11881.19,1188.119,12.5,1,8,0.0
